Time (s);Identifier;Duration
9.7656250000e-002;33286;0.0000000000e+000
1.0390625000e+000;32769;0.0000000000e+000
1.0390625000e+000;32777;0.0000000000e+000
1.4648437500e+000;33285;0.0000000000e+000
1.7578125000e+000;33286;0.0000000000e+000
1.9531250000e+000;33285;0.0000000000e+000
6.0000000000e+000;32778;0.0000000000e+000
6.0000000000e+000;32773;0.0000000000e+000
6.0000000000e+000;32771;0.0000000000e+000
6.0000000000e+000;33031;0.0000000000e+000
6.0000000000e+000;32779;0.0000000000e+000
5.4687500000e+000;33286;0.0000000000e+000
7.3242187500e+000;33285;0.0000000000e+000
8.4960937500e+000;33286;0.0000000000e+000
8.9843750000e+000;33285;0.0000000000e+000
1.0156250000e+001;33286;0.0000000000e+000
1.0351562500e+001;33285;0.0000000000e+000
1.1035156250e+001;33286;0.0000000000e+000
1.2207031250e+001;33285;0.0000000000e+000
1.3964843750e+001;33286;0.0000000000e+000
1.6406250000e+001;33285;0.0000000000e+000
1.9042968750e+001;33286;0.0000000000e+000
1.9921875000e+001;33285;0.0000000000e+000
2.5488281250e+001;33286;0.0000000000e+000
2.7050781250e+001;33285;0.0000000000e+000
2.7246093750e+001;33286;0.0000000000e+000
2.7343750000e+001;33285;0.0000000000e+000
2.7636718750e+001;33286;0.0000000000e+000
2.7929687500e+001;33285;0.0000000000e+000
2.8906250000e+001;33286;0.0000000000e+000
2.9199218750e+001;33285;0.0000000000e+000
3.6000000000e+001;32780;0.0000000000e+000
3.5156250000e+001;33286;0.0000000000e+000
3.5546875000e+001;33285;0.0000000000e+000
3.7695312500e+001;33286;0.0000000000e+000
3.8378906250e+001;33285;0.0000000000e+000
3.8671875000e+001;33286;0.0000000000e+000
3.9355468750e+001;33285;0.0000000000e+000
3.9550781250e+001;33286;0.0000000000e+000
4.1000000000e+001;33025;0.0000000000e+000
4.1000000000e+001;32779;0.0000000000e+000
