Time (s);Identifier;Duration
1.0390625000e+000;32769;0.0000000000e+000
1.0390625000e+000;32777;0.0000000000e+000
6.0000000000e+000;32778;0.0000000000e+000
6.0000000000e+000;32773;0.0000000000e+000
6.0000000000e+000;32771;0.0000000000e+000
6.0000000000e+000;33031;0.0000000000e+000
6.0000000000e+000;32779;0.0000000000e+000
2.1000000000e+001;32780;0.0000000000e+000
2.6000000000e+001;33025;0.0000000000e+000
2.6000000000e+001;32779;0.0000000000e+000
4.1000000000e+001;32780;0.0000000000e+000
4.6000000000e+001;32772;0.0000000000e+000
5.1000000000e+001;32774;0.0000000000e+000
5.1000000000e+001;32770;0.0000000000e+000
