Time (s);Oscillator 1
0.0000000000e+000;2.2497724829e+001
9.7656250000e-002;2.2503969343e+001
1.9531250000e-001;2.2582117142e+001
2.9296875000e-001;2.2805803834e+001
3.9062500000e-001;2.3005921935e+001
4.8828125000e-001;2.3148839157e+001
5.8593750000e-001;2.3214728062e+001
6.8359375000e-001;2.3190955059e+001
7.8125000000e-001;2.3137088336e+001
8.7890625000e-001;2.3092626813e+001
9.7656250000e-001;2.3072948291e+001
1.0742187500e+000;2.3081481134e+001
1.1718750000e+000;2.3102724648e+001
1.2695312500e+000;2.3137490947e+001
1.3671875000e+000;2.3156880638e+001
1.4648437500e+000;2.3137638996e+001
1.5625000000e+000;2.3111462572e+001
1.6601562500e+000;2.3091569435e+001
1.7578125000e+000;2.3076096857e+001
1.8554687500e+000;2.3062764193e+001
1.9531250000e+000;2.3081508219e+001
2.0507812500e+000;2.3109285316e+001
2.1484375000e+000;2.3118869030e+001
2.2460937500e+000;2.3078004958e+001
2.3437500000e+000;2.3026918458e+001
2.4414062500e+000;2.2987038805e+001
2.5390625000e+000;2.2948299954e+001
2.6367187500e+000;2.2931064211e+001
2.7343750000e+000;2.2924414721e+001
2.8320312500e+000;2.2922272104e+001
2.9296875000e+000;2.2904455993e+001
3.0273437500e+000;2.2869182342e+001
3.1250000000e+000;2.2844126324e+001
3.2226562500e+000;2.2827311876e+001
3.3203125000e+000;2.2814626415e+001
3.4179687500e+000;2.2811859360e+001
3.5156250000e+000;2.2806072623e+001
3.6132812500e+000;2.2794885728e+001
3.7109375000e+000;2.2772261234e+001
3.8085937500e+000;2.2751053576e+001
3.9062500000e+000;2.2751532543e+001
4.0039062500e+000;2.2767355718e+001
4.1015625000e+000;2.2790945541e+001
4.1992187500e+000;2.2811098241e+001
4.2968750000e+000;2.2815001056e+001
4.3945312500e+000;2.2803010451e+001
4.4921875000e+000;2.2781370322e+001
4.5898437500e+000;2.2772350438e+001
4.6875000000e+000;2.2788421756e+001
4.7851562500e+000;2.2817461547e+001
4.8828125000e+000;2.2859163730e+001
4.9804687500e+000;2.2899951724e+001
5.0781250000e+000;2.2921860411e+001
5.1757812500e+000;2.2919536341e+001
5.2734375000e+000;2.2906222295e+001
5.3710937500e+000;2.2908012081e+001
5.4687500000e+000;2.2925310019e+001
5.5664062500e+000;2.2945375899e+001
5.6640625000e+000;2.2980987648e+001
5.7617187500e+000;2.3024045226e+001
5.8593750000e+000;2.3061112832e+001
5.9570312500e+000;2.3076972897e+001
6.0546875000e+000;2.3079143568e+001
6.1523437500e+000;2.3090719898e+001
6.2500000000e+000;2.3094819900e+001
6.3476562500e+000;2.3090719306e+001
6.4453125000e+000;2.3103420297e+001
6.5429687500e+000;2.3128199370e+001
6.6406250000e+000;2.3157352691e+001
6.7382812500e+000;2.3187249530e+001
6.8359375000e+000;2.3210434251e+001
6.9335937500e+000;2.3230147570e+001
7.0312500000e+000;2.3210273474e+001
7.1289062500e+000;2.3175344738e+001
7.2265625000e+000;2.3158059487e+001
7.3242187500e+000;2.3154958351e+001
7.4218750000e+000;2.3163994633e+001
7.5195312500e+000;2.3187501416e+001
7.6171875000e+000;2.3214620337e+001
7.7148437500e+000;2.3223606384e+001
7.8125000000e+000;2.3179807696e+001
7.9101562500e+000;2.3118876252e+001
8.0078125000e+000;2.3076756423e+001
8.1054687500e+000;2.3048566028e+001
8.2031250000e+000;2.3043426878e+001
8.3007812500e+000;2.3057424893e+001
8.3984375000e+000;2.3074439239e+001
8.4960937500e+000;2.3071311347e+001
8.5937500000e+000;2.3024043449e+001
8.6914062500e+000;2.2959765325e+001
8.7890625000e+000;2.2911078857e+001
8.8867187500e+000;2.2873907309e+001
8.9843750000e+000;2.2870305204e+001
9.0820312500e+000;2.2879542474e+001
9.1796875000e+000;2.2885537728e+001
9.2773437500e+000;2.2873382222e+001
9.3750000000e+000;2.2835405972e+001
9.4726562500e+000;2.2797413298e+001
9.5703125000e+000;2.2776592333e+001
9.6679687500e+000;2.2771680815e+001
9.7656250000e+000;2.2787172813e+001
9.8632812500e+000;2.2800035562e+001
9.9609375000e+000;2.2798916161e+001
1.0058593750e+001;2.2780579628e+001
1.0156250000e+001;2.2753025158e+001
1.0253906250e+001;2.2743139922e+001
1.0351562500e+001;2.2760819620e+001
1.0449218750e+001;2.2799943825e+001
1.0546875000e+001;2.2844166520e+001
1.0644531250e+001;2.2868666971e+001
1.0742187500e+001;2.2866287141e+001
1.0839843750e+001;2.2845196787e+001
1.0937500000e+001;2.2826127340e+001
1.1035156250e+001;2.2833896688e+001
1.1132812500e+001;2.2866085474e+001
1.1230468750e+001;2.2917704843e+001
1.1328125000e+001;2.2980357457e+001
1.1425781250e+001;2.3018912819e+001
1.1523437500e+001;2.3021554002e+001
1.1621093750e+001;2.3001996551e+001
1.1718750000e+001;2.2989374430e+001
1.1816406250e+001;2.2999797533e+001
1.1914062500e+001;2.3019483661e+001
1.2011718750e+001;2.3056735905e+001
1.2109375000e+001;2.3109322513e+001
1.2207031250e+001;2.3150817964e+001
1.2304687500e+001;2.3164485198e+001
1.2402343750e+001;2.3152022011e+001
1.2500000000e+001;2.3145450121e+001
1.2597656250e+001;2.3143364111e+001
1.2695312500e+001;2.3135233532e+001
1.2792968750e+001;2.3143607237e+001
1.2890625000e+001;2.3169007239e+001
1.2988281250e+001;2.3192525016e+001
1.3085937500e+001;2.3217851043e+001
1.3183593750e+001;2.3233432406e+001
1.3281250000e+001;2.3237756844e+001
1.3378906250e+001;2.3213400296e+001
1.3476562500e+001;2.3172438125e+001
1.3574218750e+001;2.3147625166e+001
1.3671875000e+001;2.3141076632e+001
1.3769531250e+001;2.3142401720e+001
1.3867187500e+001;2.3162021332e+001
1.3964843750e+001;2.3186889731e+001
1.4062500000e+001;2.3192404223e+001
1.4160156250e+001;2.3151351758e+001
1.4257812500e+001;2.3083525160e+001
1.4355468750e+001;2.3033175083e+001
1.4453125000e+001;2.3001492879e+001
1.4550781250e+001;2.2991509949e+001
1.4648437500e+001;2.3008133182e+001
1.4746093750e+001;2.3028728124e+001
1.4843750000e+001;2.3029993256e+001
1.4941406250e+001;2.2990625365e+001
1.5039062500e+001;2.2919044663e+001
1.5136718750e+001;2.2861419204e+001
1.5234375000e+001;2.2823082427e+001
1.5332031250e+001;2.2820871453e+001
1.5429687500e+001;2.2839855460e+001
1.5527343750e+001;2.2854590511e+001
1.5625000000e+001;2.2850440812e+001
1.5722656250e+001;2.2819288699e+001
1.5820312500e+001;2.2776859583e+001
1.5917968750e+001;2.2751718685e+001
1.6015625000e+001;2.2748644781e+001
1.6113281250e+001;2.2772426883e+001
1.6210937500e+001;2.2800428956e+001
